entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
781122,NULL,NULL,NULL,NULL
781145,EAESP,Education Abroad Program - Spain,Participated,NULL
781145,EDCO,Concrete,Participated,NULL
781145,UNER,Nerdnoise,Participated,NULL
781152,NULL,NULL,NULL,NULL
781234,LCWR,SLCT-Writing,Participated,NULL
781234,MSCH,UC Choral Ensembles,Participated,NULL
781343,MSMB,UC Marching Band Member,Participated,NULL
781376,BUGSV,Haas Global Social Venture Competition,Participated,NULL
781422,LCSP,SLCP-Student Participants,Participated,NULL
781671,GADI,Alpha Delta Pi,Participated,NULL
781735,CLSI,Cal in Sacramento Intern,Participated,NULL
781735,LCSP,SLCP-Student Participants,Participated,NULL
781735,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
781735,UFC,French Club,Participated,NULL
781741,NULL,NULL,NULL,NULL
781760,USFL,Berkeley Students For Life,Participated,NULL
781842,GAPA,Alpha Phi Alpha,Participated,NULL
781842,LCSP,SLCP-Student Participants,Participated,NULL
781842,SCCC,Cal Corps Friends and Alumni,Participated,NULL
781842,UBRR,Black Recruitment/Retention Center,Participated,NULL
781842,UCC,Cal Camp,Participated,NULL
781899,NULL,NULL,NULL,NULL
782010,EIP1,PDP Calculus Intensive,Participated,NULL
782010,EIR6,TRSP Transfer Student Services,Participated,NULL
782012,NULL,NULL,NULL,NULL
782077,NULL,NULL,NULL,NULL
782080,NULL,NULL,NULL,NULL
782106,EAESP,Education Abroad Program - Spain,Participated,NULL
782106,SCCC,Cal Corps Friends and Alumni,Participated,NULL
782106,UPTP,People's Test Preparation Service,Participated,NULL
782132,NULL,NULL,NULL,NULL
782167,NULL,NULL,NULL,NULL
782243,EAESP,Education Abroad Program - Spain,Participated,NULL
782243,EAGBR,Education Abroad Program - United Kingdo,Participated,NULL
782243,UFEM,Female Sexuality,Participated,NULL
782403,GDUP,Delta Upsilon,Participated,NULL
782403,UESF,East Bay Scholarship Fund,Participated,NULL
782527,LCSP,SLCP-Student Participants,Participated,NULL
782574,LCSP,SLCP-Student Participants,Participated,NULL
782574,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
782610,LCSP,SLCP-Student Participants,Participated,NULL
782610,USCL,Student Campaign For Child Survival,Participated,NULL
782617,LSGI,GIANT-UCB Student Filmmaker Org,Participated,NULL
782617,UBLP,Blueprint Leadership Dev Program,Participated,NULL
782641,NRFSF,Forestry Summer Field Program,Participated,NULL
782641,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
782668,NULL,NULL,NULL,NULL
782694,NULL,NULL,NULL,NULL
