entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
490150,NULL,NULL,NULL,NULL
490155,NULL,NULL,NULL,NULL
490211,NULL,NULL,NULL,NULL
490352,NULL,NULL,NULL,NULL
490356,NULL,NULL,NULL,NULL
490370,NULL,NULL,NULL,NULL
490373,NULL,NULL,NULL,NULL
490382,NULL,NULL,NULL,NULL
490393,NULL,NULL,NULL,NULL
490425,NULL,NULL,NULL,NULL
490463,NULL,NULL,NULL,NULL
490465,NULL,NULL,NULL,NULL
490467,NULL,NULL,NULL,NULL
490500,NULL,NULL,NULL,NULL
490525,NULL,NULL,NULL,NULL
490632,NULL,NULL,NULL,NULL
490654,NULL,NULL,NULL,NULL
490796,NULL,NULL,NULL,NULL
490837,NULL,NULL,NULL,NULL
490848,NULL,NULL,NULL,NULL
490865,NULL,NULL,NULL,NULL
490868,NULL,NULL,NULL,NULL
490881,ME3,Engineerng Alumni Society Board Of Direc,Director,Cal Alumni Association
490881,ME3,Engineerng Alumni Society Board Of Direc,Secretary,Cal Alumni Association
490881,ME5,Engineerng Alumni Society-So Cal Board O,Secretary,Cal Alumni Association
490906,NULL,NULL,NULL,NULL
490924,NULL,NULL,NULL,NULL
490931,NULL,NULL,NULL,NULL
490988,NULL,NULL,NULL,NULL
491002,NULL,NULL,NULL,NULL
491021,NULL,NULL,NULL,NULL
491035,NULL,NULL,NULL,NULL
491039,NULL,NULL,NULL,NULL
491042,NULL,NULL,NULL,NULL
491053,NULL,NULL,NULL,NULL
491055,NULL,NULL,NULL,NULL
491073,NULL,NULL,NULL,NULL
491083,NULL,NULL,NULL,NULL
491131,NULL,NULL,NULL,NULL
491135,R1994,Class of 1994 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
491144,NULL,NULL,NULL,NULL
491159,NULL,NULL,NULL,NULL
491165,NULL,NULL,NULL,NULL
491195,NULL,NULL,NULL,NULL
491220,NULL,NULL,NULL,NULL
491223,NULL,NULL,NULL,NULL
491292,NULL,NULL,NULL,NULL
491325,NULL,NULL,NULL,NULL
491395,NULL,NULL,NULL,NULL
491427,NULL,NULL,NULL,NULL
491429,NULL,NULL,NULL,NULL
491458,NULL,NULL,NULL,NULL
491468,NULL,NULL,NULL,NULL
491474,NULL,NULL,NULL,NULL
491478,NULL,NULL,NULL,NULL
491481,NULL,NULL,NULL,NULL
491484,NULL,NULL,NULL,NULL
491485,AU1,*Haas Cal Business Alumni Board,Board Member,Business
491485,AU2,Haas Council,Officer,Business
491485,MU10,*Haas Class Gift Committee,Member,Business
491485,MU11,Haas Reunion/Class Volunteer Committee,Member,Business
491485,MU5,*Haas Development Council,Member,Business
491488,NULL,NULL,NULL,NULL
491545,NULL,NULL,NULL,NULL
491550,NULL,NULL,NULL,NULL
491580,NULL,NULL,NULL,NULL
491581,NULL,NULL,NULL,NULL
491588,NULL,NULL,NULL,NULL
491592,NULL,NULL,NULL,NULL
491614,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
491649,NULL,NULL,NULL,NULL
491650,NULL,NULL,NULL,NULL
491659,NULL,NULL,NULL,NULL
491661,NULL,NULL,NULL,NULL
491674,NULL,NULL,NULL,NULL
491676,NULL,NULL,NULL,NULL
491690,NULL,NULL,NULL,NULL
491697,NULL,NULL,NULL,NULL
491770,NULL,NULL,NULL,NULL
491790,NULL,NULL,NULL,NULL
491793,NULL,NULL,NULL,NULL
491812,NULL,NULL,NULL,NULL
491821,NULL,NULL,NULL,NULL
491843,NULL,NULL,NULL,NULL
491870,BL4,L&S Advisory Board,Member,Letters & Science
491870,R1994,Class of 1994 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
491916,NULL,NULL,NULL,NULL
491939,NULL,NULL,NULL,NULL
491942,NULL,NULL,NULL,NULL
491963,MW1,Berkeley Law Alumni Assn Director Board,Member,Law
491982,NULL,NULL,NULL,NULL
492021,NULL,NULL,NULL,NULL
492058,NULL,NULL,NULL,NULL
492216,NULL,NULL,NULL,NULL
492258,NULL,NULL,NULL,NULL
492275,NULL,NULL,NULL,NULL
492285,NULL,NULL,NULL,NULL
492371,NULL,NULL,NULL,NULL
492433,NULL,NULL,NULL,NULL
492457,NULL,NULL,NULL,NULL
492465,NULL,NULL,NULL,NULL
492486,NULL,NULL,NULL,NULL
492511,NULL,NULL,NULL,NULL
492512,NULL,NULL,NULL,NULL
492661,NULL,NULL,NULL,NULL
492750,NULL,NULL,NULL,NULL
492781,NULL,NULL,NULL,NULL
492829,NULL,NULL,NULL,NULL
492849,NULL,NULL,NULL,NULL
492936,NULL,NULL,NULL,NULL
492954,NULL,NULL,NULL,NULL
