entity_id,affil_code,affil_code_desc,affil_level_code_desc,affil_status_desc
330188,RC32,CAA Cal Spirit Alumni Club,Member,Current
330188,RC5,*CAA La Raza Alumni Club-Defunct,Member,Former
330188,RD3,Haas Berk Real Estate Alumni Club (BREA),Member,Current
330188,URCR,@Cal Registrant,Member,Current
330189,CAFCA,Friends of CAA,Friend,Current
330219,CAFCA,Friends of CAA,Friend,Current
330219,URCR,@Cal Registrant,Member,Current
330237,NULL,NULL,NULL,NULL
330247,CAFCA,Friends of CAA,Friend,Current
330247,MC2,Cal Performances Patrons,Patron,Former
330299,CAFCA,Friends of CAA,Friend,Current
330299,CHECM,Chemistry CHEMillenium Era,Member,Current
330326,OC6,CAA Prytanean Alumnae,Member,Current
330329,URCR,@Cal Registrant,Member,Current
330368,CAFCA,Friends of CAA,Friend,Current
330368,MA17,TAAP/KASP Scholarship Interviewer,Volunteer,Former
330368,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Former
330368,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
330368,RC16,CAA BER Student Cooperative Alumni Assoc,Member,Current
330372,CAFCA,Friends of CAA,Friend,Current
330394,CAFCA,Friends of CAA,Friend,Current
330395,CAFCA,Friends of CAA,Friend,Current
330402,CAFCA,Friends of CAA,Friend,Current
330408,RC33,CAA Daily Cal Alumni,Member,Current
330408,RC96,CAA Berkeley Environment Alumni Network,Member,Current
330408,X11,Daily Cal Staff Alumni,Staff,Current
330413,CAFCA,Friends of CAA,Friend,Current
330419,MUA3,Student Affairs Career Ctr Externship Sp,Member,Current
330422,CAFCA,Friends of CAA,Friend,Current
330422,MA3,Cal Advocate,Advocate,Current
330423,MUA3,Student Affairs Career Ctr Externship Sp,Member,Current
330423,RC00,CAA Tri-Valley Cal Alumni Club,Member,Current
330429,BCLB,Berkeley Center for Law & Business,Friend,Current
330429,CAFCA,Friends of CAA,Friend,Current
330429,RC27,CAA Stern Hall Alumni Club,Member,Current
330462,ATFAT,Friends of Athletics,Friend,Current
330462,CAFCA,Friends of CAA,Friend,Current
330462,MA3,Cal Advocate,Advocate,Current
330462,MB3,Big C Society,Member,Current
330462,URCR,@Cal Registrant,Member,Current
330547,ATFAT,Friends of Athletics,Friend,Current
330547,MA3,Cal Advocate,Advocate,Current
330547,RC81,CAA Northern C's,Member,Current
330566,NULL,NULL,NULL,NULL
330572,MA3,Cal Advocate,Advocate,Current
330584,CAFCA,Friends of CAA,Friend,Current
330606,CAFCA,Friends of CAA,Friend,Current
330673,CAFCA,Friends of CAA,Friend,Current
330673,RC02,CAA Cal Alumni of Utah,Member,Current
330673,RD1,CAA Art Alumni Group,Member,Current
330685,CAFCA,Friends of CAA,Friend,Current
330685,MA3,Cal Advocate,Advocate,Current
330717,CAFCA,Friends of CAA,Friend,Current
330717,MA3,Cal Advocate,Advocate,Current
330730,ATFAT,Friends of Athletics,Friend,Current
330730,BAMFR,Followers of BAM/PFA,Member,Current
330730,CAFCA,Friends of CAA,Friend,Current
330730,ML2,Magnes Collection Constituent,Patron,Current
330730,URCR,@Cal Registrant,Member,Current
330732,CAFCA,Friends of CAA,Friend,Current
330732,LWFLS,Friends of Law School,Friend,Current
330736,NULL,NULL,NULL,NULL
330745,NULL,NULL,NULL,NULL
330755,CAFCA,Friends of CAA,Friend,Current
330755,MA12,CAA Lair of the Golden Bear Camper,Member,Former
330755,MA30,TAAP/KASP Scholarship Reader,Volunteer,Former
330769,CAFCA,Friends of CAA,Friend,Current
330769,CHECM,Chemistry CHEMillenium Era,Member,Current
330769,RD2,Chemistry Alumni Association,Member,Current
330784,NULL,NULL,NULL,NULL
330794,CAFCA,Friends of CAA,Friend,Current
330804,CAFCA,Friends of CAA,Friend,Current
330811,CAFCA,Friends of CAA,Friend,Current
330811,CHECM,Chemistry CHEMillenium Era,Member,Current
330815,CAFCA,Friends of CAA,Friend,Current
330815,MA3,Cal Advocate,Advocate,Current
330820,MA5,CAA Student Recruitment/Outreach Pgm,Volunteer,Former
330856,ATFAT,Friends of Athletics,Friend,Current
330916,CAFCA,Friends of CAA,Friend,Current
330916,MC2,Cal Performances Patrons,Patron,Former
330974,CAFCA,Friends of CAA,Friend,Current
330974,URCR,@Cal Registrant,Member,Current
330986,CAFCA,Friends of CAA,Friend,Current
330999,MA3,Cal Advocate,Advocate,Current
331054,CHEFR,Chemistry Free Radicals Era,Member,Current
331054,GPSP,Gift Planning Stewardship Program,Member,Current
331054,UBIW,Benjamin Ide Wheeler Society,Member,Current
331073,CAFCA,Friends of CAA,Friend,Current
331100,CACSP,CAA The Berkeley Network,Member,Current
331100,CHEFR,Chemistry Free Radicals Era,Member,Current
331100,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Former
331100,MA5,CAA Student Recruitment/Outreach Pgm,Volunteer,Current
331100,RC60,CAA Cal Alumni Club of Houston,Member,Current
331100,RC60,CAA Cal Alumni Club of Houston,President,Former
331100,RC9,*CAA Club Presidents,President,Former
331100,RD2,Chemistry Alumni Association,Member,Current
331125,NULL,NULL,NULL,NULL
331154,CAFCA,Friends of CAA,Friend,Current
331154,CHECM,Chemistry CHEMillenium Era,Member,Current
331154,RC58,CAA Cal Alumni Club of Philadelphia,Member,Current
331177,ATFAT,Friends of Athletics,Friend,Current
331177,CAFCA,Friends of CAA,Friend,Current
331177,MB3,Big C Society,Member,Current
331177,RC16,CAA BER Student Cooperative Alumni Assoc,Member,Current
331177,URCR,@Cal Registrant,Member,Current
331213,CAFCA,Friends of CAA,Friend,Current
331262,CAFCA,Friends of CAA,Friend,Current
331290,M1,*Haas San Francisco MBA Program,Graduate,Former
331290,URCR,@Cal Registrant,Member,Current
331300,BUCMG,Haas Career Management Group,Panelist,Current
