entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
775553,NULL,NULL,NULL,NULL
775624,NULL,NULL,NULL,NULL
775641,NULL,NULL,NULL,NULL
775650,NULL,NULL,NULL,NULL
775657,NULL,NULL,NULL,NULL
775660,NULL,NULL,NULL,NULL
775682,NULL,NULL,NULL,NULL
775688,AU38,Haas HAN San Francisco Chapter Board,Board Member,Business
775702,NULL,NULL,NULL,NULL
775708,NULL,NULL,NULL,NULL
775723,NULL,NULL,NULL,NULL
775735,NULL,NULL,NULL,NULL
775744,NULL,NULL,NULL,NULL
775768,NULL,NULL,NULL,NULL
775774,NULL,NULL,NULL,NULL
775775,NULL,NULL,NULL,NULL
775792,NULL,NULL,NULL,NULL
775796,NULL,NULL,NULL,NULL
775805,NULL,NULL,NULL,NULL
775809,NULL,NULL,NULL,NULL
775820,NULL,NULL,NULL,NULL
775822,NULL,NULL,NULL,NULL
775825,NULL,NULL,NULL,NULL
775829,NULL,NULL,NULL,NULL
775831,NULL,NULL,NULL,NULL
775832,NULL,NULL,NULL,NULL
775845,NULL,NULL,NULL,NULL
775850,NULL,NULL,NULL,NULL
775864,NULL,NULL,NULL,NULL
775867,NULL,NULL,NULL,NULL
775870,NULL,NULL,NULL,NULL
775879,NULL,NULL,NULL,NULL
775880,NULL,NULL,NULL,NULL
775883,NULL,NULL,NULL,NULL
775896,NULL,NULL,NULL,NULL
775905,NULL,NULL,NULL,NULL
775908,NULL,NULL,NULL,NULL
775933,NULL,NULL,NULL,NULL
775977,NULL,NULL,NULL,NULL
775979,NULL,NULL,NULL,NULL
775980,NULL,NULL,NULL,NULL
775989,NULL,NULL,NULL,NULL
775995,NULL,NULL,NULL,NULL
776003,NULL,NULL,NULL,NULL
776014,NULL,NULL,NULL,NULL
776018,NULL,NULL,NULL,NULL
776021,NULL,NULL,NULL,NULL
776039,NULL,NULL,NULL,NULL
776041,NULL,NULL,NULL,NULL
776042,NULL,NULL,NULL,NULL
776074,NULL,NULL,NULL,NULL
776086,NULL,NULL,NULL,NULL
776102,NULL,NULL,NULL,NULL
776108,NULL,NULL,NULL,NULL
776112,NULL,NULL,NULL,NULL
776114,NULL,NULL,NULL,NULL
776126,NULL,NULL,NULL,NULL
776137,NULL,NULL,NULL,NULL
776140,NULL,NULL,NULL,NULL
776147,NULL,NULL,NULL,NULL
776180,NULL,NULL,NULL,NULL
776188,NULL,NULL,NULL,NULL
776193,R2005,Class of 2005 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
776218,NULL,NULL,NULL,NULL
776219,NULL,NULL,NULL,NULL
776235,NULL,NULL,NULL,NULL
776238,R2007,Class of 2007 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
776252,NULL,NULL,NULL,NULL
776266,NULL,NULL,NULL,NULL
776272,NULL,NULL,NULL,NULL
776287,NULL,NULL,NULL,NULL
776291,R2006,Class of 2006 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
776297,NULL,NULL,NULL,NULL
776298,NULL,NULL,NULL,NULL
776319,NULL,NULL,NULL,NULL
776330,NULL,NULL,NULL,NULL
776355,NULL,NULL,NULL,NULL
776374,NULL,NULL,NULL,NULL
776394,NULL,NULL,NULL,NULL
776422,NULL,NULL,NULL,NULL
776423,NULL,NULL,NULL,NULL
776445,NULL,NULL,NULL,NULL
776447,NULL,NULL,NULL,NULL
776450,NULL,NULL,NULL,NULL
776476,NULL,NULL,NULL,NULL
776481,NULL,NULL,NULL,NULL
776505,NULL,NULL,NULL,NULL
776523,NULL,NULL,NULL,NULL
776526,NULL,NULL,NULL,NULL
776530,NULL,NULL,NULL,NULL
776560,NULL,NULL,NULL,NULL
776582,NULL,NULL,NULL,NULL
776587,NULL,NULL,NULL,NULL
776590,NULL,NULL,NULL,NULL
776595,NULL,NULL,NULL,NULL
776598,NULL,NULL,NULL,NULL
776599,NULL,NULL,NULL,NULL
776600,NULL,NULL,NULL,NULL
