entity_id,awd_honor_code,awd_honor_desc
605719,NULL,NULL
605720,NULL,NULL
605728,NULL,NULL
605742,NULL,NULL
605747,NULL,NULL
605750,NULL,NULL
605753,CAL,CAA Leadership Award Scholar
605753,RCS,Regents'/Chancellor's Scholar Recipient
605754,NULL,NULL
605757,NULL,NULL
605767,NULL,NULL
605769,NULL,NULL
605778,NULL,NULL
605781,NULL,NULL
605784,NULL,NULL
605788,NULL,NULL
605795,NULL,NULL
605801,NULL,NULL
605808,NULL,NULL
605825,NULL,NULL
605826,NULL,NULL
605830,NULL,NULL
605844,NULL,NULL
605845,NULL,NULL
605846,NULL,NULL
605849,NULL,NULL
605850,NULL,NULL
605851,NULL,NULL
605853,NULL,NULL
605863,NULL,NULL
605867,NULL,NULL
605873,NULL,NULL
605877,NULL,NULL
605885,NULL,NULL
605887,NULL,NULL
605894,NULL,NULL
605900,NULL,NULL
605908,NULL,NULL
605916,NULL,NULL
605929,NULL,NULL
605940,NULL,NULL
605951,NULL,NULL
605979,NULL,NULL
605985,NULL,NULL
605989,NULL,NULL
605990,NULL,NULL
605991,NULL,NULL
606001,NULL,NULL
606003,NULL,NULL
606014,NULL,NULL
606024,RCS,Regents'/Chancellor's Scholar Recipient
606026,NULL,NULL
606027,NULL,NULL
606030,NULL,NULL
606036,NULL,NULL
606043,PBK,Phi Beta Kappa
606046,NULL,NULL
606054,NULL,NULL
606056,NULL,NULL
606057,NULL,NULL
606070,NULL,NULL
606071,NULL,NULL
606072,NULL,NULL
606076,NULL,NULL
606077,NULL,NULL
606083,NULL,NULL
606090,NULL,NULL
606106,NULL,NULL
606117,NULL,NULL
606145,NULL,NULL
606156,NULL,NULL
606157,NULL,NULL
606176,NULL,NULL
606184,NULL,NULL
606185,NULL,NULL
606189,NULL,NULL
606203,NULL,NULL
606204,NULL,NULL
606207,CAK,Kenneth Priestley Leadership Award
606217,NULL,NULL
606222,NULL,NULL
606228,NULL,NULL
606233,NULL,NULL
606236,NULL,NULL
606246,NULL,NULL
606261,NULL,NULL
606263,NULL,NULL
606265,NULL,NULL
606271,NULL,NULL
606272,NULL,NULL
606274,NULL,NULL
606276,NULL,NULL
606280,NULL,NULL
606281,NULL,NULL
606282,NULL,NULL
606301,NULL,NULL
606303,NULL,NULL
606334,NULL,NULL
606339,NULL,NULL
606358,NULL,NULL
606362,WCE,Wiskocil Award in Civil Engineering
606401,NULL,NULL
606414,NULL,NULL
606419,NULL,NULL
606428,CAL,CAA Leadership Award Scholar
606447,NULL,NULL
606454,NULL,NULL
606472,IAS,Incentive Awards Scholar. Recipient
606494,NULL,NULL
606512,NULL,NULL
606519,NULL,NULL
606521,PBK,Phi Beta Kappa
606557,CAG,CAA Robert G. & Ida W. Sproul Award
606557,CAL,CAA Leadership Award Scholar
606557,LVS,UA Levi Strauss Scholarship
606563,CAL,CAA Leadership Award Scholar
606567,NULL,NULL
606588,NULL,NULL
606591,NULL,NULL
606615,CAL,CAA Leadership Award Scholar
606638,NULL,NULL
606649,NULL,NULL
606654,NULL,NULL
606658,AEN,UA Albert Ehrman Scholarship
606678,NULL,NULL
606714,NULL,NULL
606717,NULL,NULL
606736,NULL,NULL
606741,NULL,NULL
606749,NULL,NULL
606750,NULL,NULL
606752,NULL,NULL
606756,NULL,NULL
606778,NULL,NULL
606783,NULL,NULL
606788,PBK,Phi Beta Kappa
606800,NULL,NULL
606802,NULL,NULL
606807,NULL,NULL
606843,NULL,NULL
606844,NULL,NULL
606845,PBK,Phi Beta Kappa
606846,NULL,NULL
606863,NULL,NULL
606865,NULL,NULL
606885,NULL,NULL
606887,NULL,NULL
606888,CAL,CAA Leadership Award Scholar
606901,NULL,NULL
606914,NULL,NULL
606924,NULL,NULL
606974,NULL,NULL
606979,NULL,NULL
606984,NULL,NULL
606990,NULL,NULL
606999,NULL,NULL
607002,NULL,NULL
