entity_id,sport_code,sport_desc
873009,NULL,NULL
873011,NULL,NULL
873012,NULL,NULL
873013,NULL,NULL
873017,NULL,NULL
873018,NULL,NULL
873019,NULL,NULL
873020,NULL,NULL
873021,NULL,NULL
873022,NULL,NULL
873024,NULL,NULL
873025,NULL,NULL
873026,NULL,NULL
873028,NULL,NULL
873030,NULL,NULL
873039,NULL,NULL
873041,NULL,NULL
873044,NULL,NULL
873046,NULL,NULL
873047,NULL,NULL
873049,NULL,NULL
873053,NULL,NULL
873057,NULL,NULL
873060,NULL,NULL
873062,NULL,NULL
873065,NULL,NULL
873066,NULL,NULL
873067,NULL,NULL
873068,NULL,NULL
873071,NULL,NULL
873073,NULL,NULL
873074,NULL,NULL
873075,NULL,NULL
873077,NULL,NULL
873079,NULL,NULL
873081,NULL,NULL
873084,NULL,NULL
873086,NULL,NULL
873088,NULL,NULL
873089,NULL,NULL
873090,NULL,NULL
873093,NULL,NULL
873098,NULL,NULL
873099,NULL,NULL
873100,NULL,NULL
873103,NULL,NULL
873106,NULL,NULL
873110,NULL,NULL
873111,NULL,NULL
873116,NULL,NULL
873124,NULL,NULL
873133,NULL,NULL
873138,NULL,NULL
873140,NULL,NULL
873141,NULL,NULL
873142,NULL,NULL
873143,NULL,NULL
873144,NULL,NULL
873145,NULL,NULL
873146,NULL,NULL
873147,NULL,NULL
873148,RSLC,Cal LaCrosse Club
873151,NULL,NULL
873152,NULL,NULL
873156,NULL,NULL
873157,NULL,NULL
873163,NULL,NULL
873164,NULL,NULL
873167,NULL,NULL
873168,NULL,NULL
873170,NULL,NULL
873171,NULL,NULL
873177,NULL,NULL
873178,NULL,NULL
873179,NULL,NULL
873180,NULL,NULL
873182,NULL,NULL
873183,NULL,NULL
873184,NULL,NULL
873185,NULL,NULL
873187,NULL,NULL
873189,NULL,NULL
873193,NULL,NULL
873194,NULL,NULL
873195,NULL,NULL
873196,NULL,NULL
873198,RSCY,Cal Cycling Club
873203,NULL,NULL
873207,NULL,NULL
873210,NULL,NULL
873211,NULL,NULL
873214,NULL,NULL
873215,NULL,NULL
873216,NULL,NULL
873217,NULL,NULL
873218,NULL,NULL
873220,NULL,NULL
873221,NULL,NULL
873222,NULL,NULL
873223,NULL,NULL
873225,NULL,NULL
873226,NULL,NULL
873228,NULL,NULL
873229,NULL,NULL
873231,NULL,NULL
873234,NULL,NULL
873237,NULL,NULL
873238,NULL,NULL
873239,NULL,NULL
873240,NULL,NULL
873241,NULL,NULL
873243,NULL,NULL
873246,NULL,NULL
873248,NULL,NULL
873252,NULL,NULL
873254,NULL,NULL
873258,NULL,NULL
873260,NULL,NULL
873261,NULL,NULL
873263,NULL,NULL
873264,NULL,NULL
873265,NULL,NULL
873266,NULL,NULL
873267,NULL,NULL
873270,NULL,NULL
873272,NULL,NULL
873273,NULL,NULL
873277,NULL,NULL
873278,NULL,NULL
873279,NULL,NULL
873284,NULL,NULL
873287,NULL,NULL
873290,NULL,NULL
873292,NULL,NULL
873293,NULL,NULL
873294,NULL,NULL
873296,NULL,NULL
873298,NULL,NULL
873301,NULL,NULL
873304,NULL,NULL
873308,NULL,NULL
873309,NULL,NULL
873311,NULL,NULL
873314,NULL,NULL
873315,NULL,NULL
873316,NULL,NULL
873317,NULL,NULL
873320,NULL,NULL
873321,NULL,NULL
873322,NULL,NULL
873327,NULL,NULL
873330,NULL,NULL
873332,NULL,NULL
873335,NULL,NULL
873339,NULL,NULL
873342,NULL,NULL
873343,NULL,NULL
873345,NULL,NULL
873346,NULL,NULL
873348,NULL,NULL
873355,NULL,NULL
873358,NULL,NULL
873365,NULL,NULL
873369,NULL,NULL
873372,NULL,NULL
873373,NULL,NULL
873377,NULL,NULL
873380,NULL,NULL
873382,NULL,NULL
873383,NULL,NULL
873385,NULL,NULL
873386,NULL,NULL
873387,NULL,NULL
873390,NULL,NULL
873394,NULL,NULL
873395,NULL,NULL
873396,NULL,NULL
873399,NULL,NULL
873401,NULL,NULL
873402,NULL,NULL
873403,NULL,NULL
873405,NULL,NULL
873406,NULL,NULL
873408,NULL,NULL
873409,NULL,NULL
873410,NULL,NULL
873412,NULL,NULL
873414,NULL,NULL
873416,NULL,NULL
873419,NULL,NULL
873421,NULL,NULL
873422,NULL,NULL
873423,NULL,NULL
873424,NULL,NULL
873426,NULL,NULL
873430,NULL,NULL
873431,NULL,NULL
873432,NULL,NULL
873433,NULL,NULL
873434,NULL,NULL
873435,NULL,NULL
873436,NULL,NULL
873438,NULL,NULL
873440,NULL,NULL
873441,NULL,NULL
873444,NULL,NULL
873445,NULL,NULL
873447,NULL,NULL
873449,NULL,NULL
873450,NULL,NULL
873453,NULL,NULL
873454,NULL,NULL
873455,NULL,NULL
873456,NULL,NULL
873460,NULL,NULL
873461,NULL,NULL
873463,NULL,NULL
873464,NULL,NULL
873466,NULL,NULL
873469,NULL,NULL
873471,NULL,NULL
873479,NULL,NULL
873481,NULL,NULL
873482,NULL,NULL
873485,NULL,NULL
873486,NULL,NULL
873487,NULL,NULL
873492,NULL,NULL
873493,NULL,NULL
873496,NULL,NULL
873497,NULL,NULL
873498,NULL,NULL
873499,NULL,NULL
873500,NULL,NULL
873502,NULL,NULL
873504,NULL,NULL
873505,NULL,NULL
873510,NULL,NULL
873513,NULL,NULL
873515,NULL,NULL
873517,NULL,NULL
873521,NULL,NULL
873525,NULL,NULL
873526,NULL,NULL
873533,NULL,NULL
873539,NULL,NULL
873541,NULL,NULL
873545,NULL,NULL
873549,NULL,NULL
873550,NULL,NULL
873551,NULL,NULL
873553,NULL,NULL
873555,NULL,NULL
873557,NULL,NULL
873560,NULL,NULL
873561,NULL,NULL
873564,NULL,NULL
873571,NULL,NULL
873573,NULL,NULL
873578,NULL,NULL
873580,NULL,NULL
873583,NULL,NULL
873587,NULL,NULL
873588,NULL,NULL
873589,NULL,NULL
873593,NULL,NULL
873600,NULL,NULL
873601,NULL,NULL
873604,NULL,NULL
873606,NULL,NULL
873609,NULL,NULL
873622,NULL,NULL
873625,NULL,NULL
873636,NULL,NULL
